iter	RMSE
0	1.573236996
1	1.529186995
2	1.488479408
3	1.450353374
4	1.416095389
5	1.383786877
6	1.353196071
7	1.325642878
8	1.299421591
9	1.275848632
10	1.253433461
11	1.233280991
12	1.214758772
13	1.197472402
14	1.181542749
15	1.166617633
16	1.153003662
17	1.140416035
18	1.129304913
19	1.118716801
20	1.108989528
21	1.100278009
22	1.092098626
23	1.084646151
24	1.0779043
25	1.071499138
26	1.065699191
27	1.060320327
28	1.055383884
29	1.050864115
30	1.046627234
31	1.042796115
32	1.03928746
33	1.035914767
34	1.032753353
35	1.030003289
36	1.027590467
37	1.025257032
38	1.022979468
39	1.0208136
40	1.018997253
41	1.017072496
42	1.015369786
43	1.01385805
44	1.012493468
45	1.011078328
46	1.009880087
47	1.008708937
48	1.007654669
49	1.006659003
50	1.005640034
51	1.004774699
52	1.003953376
53	1.003084233
54	1.002094385
55	1.001059837
56	1.000162746
57	0.999438182
58	0.9988345641
59	0.9981837423
60	0.9974588
61	0.9968154501
62	0.9962066355
63	0.9955918
64	0.9951136034
65	0.9945629189
66	0.9940398793
67	0.9936099561
68	0.9931660153
69	0.9926845251
70	0.9921020986
71	0.9915785036
72	0.9911439367
73	0.9905633314
74	0.9901322169
75	0.9897555261
76	0.9894173884
77	0.9891413938
78	0.9887745521
79	0.9882834281
80	0.9878898364
81	0.9874908262
82	0.9871564578
83	0.986816473
84	0.9864968372
85	0.986145065
86	0.985874321
87	0.9855034804
88	0.9850858651
89	0.9848126331
90	0.9845980898
91	0.9843573959
92	0.9840995595
93	0.9836421762
94	0.9832964007
95	0.9829220016
96	0.9826765161
97	0.9822937092
98	0.9820719103
99	0.9817506726
100	0.9815135135
101	0.9812695177
102	0.9809280275
103	0.9807022501
104	0.9804856305
105	0.9802272788
106	0.9799728939
107	0.9798021703
108	0.97941439
109	0.9792138244
110	0.9788232762
111	0.9785892865
112	0.9783886021
113	0.9780675163
114	0.9778762481
115	0.9776478912
116	0.9774661552
117	0.9771618464
118	0.9768320454
119	0.9766440409
120	0.9764529245
121	0.9762306644
122	0.9760016141
123	0.9758206183
124	0.975631252
125	0.975413985
126	0.9750920919
127	0.9748986684
128	0.9747452355
129	0.9745943667
130	0.9743510017
131	0.9741969577
132	0.9739945277
133	0.9737872285
134	0.9736862924
135	0.973536559
136	0.9732218906
137	0.9730020145
138	0.9728278557
139	0.9725574452
140	0.9723668525
141	0.9721872151
142	0.9720044006
143	0.9717829202
144	0.9716673265
145	0.9715358213
146	0.9714102984
147	0.9712573463
148	0.9710704172
149	0.9708867191
150	0.9707480006
151	0.9705139615
152	0.9703567938
