iter	Passed	Remaining
0	75	30005
1	157	31413
2	239	31719
3	387	38406
4	481	38004
5	563	37027
6	647	36326
7	729	35754
8	809	35147
9	890	34723
10	973	34440
11	1069	34568
12	1149	34232
13	1231	33952
14	1319	33858
15	1403	33682
16	1484	33434
17	1568	33278
18	1645	32989
19	1730	32870
20	1811	32692
21	1891	32499
22	1969	32274
23	2049	32107
24	2129	31948
25	2211	31817
26	2301	31800
27	2383	31664
28	2518	32214
29	2653	32720
30	2735	32557
31	2817	32398
32	2899	32240
33	2982	32105
34	3071	32035
35	3154	31894
36	3239	31780
37	3321	31643
38	3403	31500
39	3488	31399
40	3569	31251
41	3651	31121
42	3736	31019
43	3820	30912
44	3907	30827
45	3995	30748
46	4090	30719
47	4186	30697
48	4269	30582
49	4351	30457
50	4433	30338
51	4515	30221
52	4601	30128
53	4720	30243
54	4845	30391
55	4937	30328
56	5023	30230
57	5107	30114
58	5187	29980
59	5268	29852
60	5352	29745
61	5438	29645
62	5516	29509
63	5604	29425
64	5688	29316
65	5773	29217
66	5866	29155
67	5962	29109
68	6048	29015
69	6132	28910
70	6215	28801
71	6302	28712
72	6387	28610
73	6469	28501
74	6553	28398
75	6639	28303
76	6725	28211
77	6811	28118
78	6920	28118
79	7061	28244
80	7146	28143
81	7232	28049
82	7317	27947
83	7408	27870
84	7493	27769
85	7582	27683
86	7669	27592
87	7757	27503
88	7841	27400
89	7924	27295
90	8008	27192
91	8099	27117
92	8185	27020
93	8273	26933
94	8359	26839
95	8447	26750
96	8531	26648
97	8620	26566
98	8709	26480
99	8795	26385
100	8884	26300
101	8987	26257
102	9097	26233
103	9226	26261
104	9320	26185
105	9408	26094
106	9497	26007
107	9587	25921
108	9674	25828
109	9760	25731
110	9847	25637
111	9933	25542
112	10021	25451
113	10107	25358
114	10193	25263
115	10274	25154
116	10359	25057
117	10444	24960
118	10530	24864
119	10616	24770
120	10702	24676
121	10787	24581
122	10873	24487
123	10961	24398
124	11047	24304
125	11130	24204
126	11214	24105
127	11402	24230
128	11487	24133
129	11574	24039
130	11661	23946
131	11749	23855
132	11831	23751
133	11916	23656
134	12001	23558
135	12087	23464
136	12173	23369
137	12262	23281
138	12349	23188
139	12432	23089
140	12517	22992
141	12601	22896
142	12688	22804
143	12771	22704
144	12855	22607
145	12941	22514
146	13028	22422
147	13114	22329
148	13201	22239
149	13286	22144
150	13375	22056
151	13463	21966
152	13652	22039
153	13739	21947
154	13810	21829
155	13896	21735
156	13983	21642
157	14069	21549
158	14157	21458
159	14249	21374
160	14334	21279
161	14422	21188
162	14507	21093
163	14592	20999
164	14677	20904
165	14764	20812
166	14849	20718
167	14936	20627
168	15036	20553
169	15122	20460
170	15209	20368
171	15302	20285
172	15384	20186
173	15467	20090
174	15550	19993
175	15634	19899
176	15785	19888
177	15881	19807
178	15970	19717
179	16057	19626
180	16143	19532
181	16234	19445
182	16321	19354
183	16414	19268
184	16496	19172
185	16584	19081
186	16671	18988
187	16758	18897
188	16844	18805
189	16929	18711
190	17011	18614
191	17096	18521
