instance_idx,n_cfs,cfs_modifying_outcomes,cfs_modifying_behavior_only,pct_modifying_outcomes
47989,2,2,0,100.0
94489,3,3,0,100.0
71216,3,3,0,100.0
22098,3,3,0,100.0
74036,3,3,0,100.0
37050,3,3,0,100.0
43520,3,3,0,100.0
39114,3,3,0,100.0
14011,3,3,0,100.0
547,3,3,0,100.0
34951,3,3,0,100.0
92307,3,3,0,100.0
80960,3,3,0,100.0
10510,3,3,0,100.0
57223,3,3,0,100.0
50188,3,3,0,100.0
51321,3,3,0,100.0
35632,3,3,0,100.0
7710,3,3,0,100.0
35814,3,3,0,100.0
89033,3,3,0,100.0
48241,2,2,0,100.0
93939,3,3,0,100.0
12009,3,3,0,100.0
77396,3,3,0,100.0
45155,3,3,0,100.0
1059,3,3,0,100.0
66147,3,3,0,100.0
42574,3,3,0,100.0
17149,3,3,0,100.0
34888,3,3,0,100.0
96593,3,3,0,100.0
84815,3,3,0,100.0
94141,3,3,0,100.0
12816,3,3,0,100.0
40233,3,3,0,100.0
13061,3,3,0,100.0
22538,3,3,0,100.0
89658,3,3,0,100.0
23455,3,3,0,100.0
