instance_idx,orig_pred,n_cfs,validity,proximity,sparsity,diversity,plausibility,quartile
699,4.110085555733578,1,1.0,0.36615277777777777,5.0,0.0,1.0,0
1636,5.073650268481532,2,1.0,0.15840376984126983,3.0,0.07819642857142856,1.0,0
1041,4.495266439812263,1,1.0,0.42730555555555555,7.0,0.0,1.0,0
339,1.8995555193263578,3,1.0,0.06973776455026458,4.0,0.06254828042328042,1.0,0
3910,6.3062785970325415,1,1.0,0.1176061507936508,4.0,0.0,1.0,1
4759,6.170286094279365,3,1.0,0.19514318783068782,4.333333333333333,0.10814814814814815,1.0,1
4753,5.560874512525216,1,1.0,0.295781746031746,5.0,0.0,1.0,1
7734,6.2586698250736434,3,1.0,0.29671461640211644,6.0,0.3037943121693122,1.0,2
5089,6.186464282272615,3,1.0,0.10787169312169309,3.6666666666666665,0.0884781746031746,1.0,2
6316,8.045978950087044,2,1.0,0.3029806547619047,5.0,0.2255446428571429,1.0,2
7831,7.559633262487433,3,1.0,0.26378141534391536,5.333333333333333,0.11336640211640213,1.0,2
8447,6.528756809510897,3,1.0,0.07562896825396828,2.6666666666666665,0.07314947089947092,1.0,3
9945,6.06014826353106,2,1.0,0.1984737103174603,6.0,0.09236408730158727,1.0,3
9773,8.094915052772459,2,1.0,0.16172023809523808,3.5,0.18482936507936507,1.0,3
